求,"求 request  キュウ  もと.める to request, want, demand"
津,"津 inlet  シン  つ an inlet, a haven"
案,案 plan  アン
談,談 discussion  ダン
降,降 get off  コウ  お.りる to get off  お.ろす to drop off  ふ.る to fall (eg rain)
妻,妻 wife  サイ  つま
岡,"岡 hill  おか hill, Mount"
境,境 boundary  キョウ  ケイ  さかい
熱,熱 hot  ネツ  あつ.い
策,策 policy  サク
浮,"浮 float  フ  う.かぶ  う.く to float  う.かべる to launch, to refloat, to waft  う.かれる to frolic"
階,階 floor  カイ
等,"等 equal  トウ  ひと.しい equal, similar"
末,末 end  マツ  バツ  すえ
宗,宗 religion  シュウ  ソウ
区,区 ward  ク
波,波 wave  ハ  なみ
提,"提 submit  テイ  さ.げる propose, take along, carry in hand"
去,去 leave  キョ  コ  さ.る
幸,幸 happiness  コウ  さち  しあわ.せ  さいわ.い
研,"研 sharpen  ケン  と.ぐ to sharpen, to whet"
移,移 shift  イ  うつ.る  うつ.す to move
域,域 region  イキ
飲,飲 drink  イン  の.む to drink
肉,肉 meat  ニク
草,草 grass  ソウ  くさ
周,周 circumference  シュウ  まわ.り
昭,昭 bright  ショウ
越,越 surpass  エツ  こ.す  こ.える to surpass
服,服 clothes  フク
接,"接 join  セツ  つ.ぐ to join, contact, touch"
鉄,鉄 iron  テツ
密,密 secret  ミツ
司,司 administer  シ
登,登 climb  トウ  ト  のぼ.る to climb
頃,頃 time  ころ
銀,銀 silver  ギン
類,"類 kind  ルイ  たぐ.い kind, type"
検,検 investigation  ケン
未,未 not yet  ミ
材,材 lumber  ザイ
個,個 individual  コ
康,康 peace  コウ
沢,"沢 marsh  タク  さわ marsh, swamp"
協,協 cooperation  キョウ
茶,茶 tea  チャ  サ
各,各 each; every  カク  おのおの each
究,究 investigate  キュウ  きわ.める to investigate thoroughly
帯,"帯 belt  タイ  おび sash  お.びる to wear, to carry"
規,規 standard  キ
秀,秀 excellent  シュウ  ひい.でる to surpass
歴,歴 passing of time  レキ
編,"編 knit  ヘン  あ.む to knit, compile, edit"
興,興 entertainment  コウ  キョウ  おこ.る to flourish  おこ.す to establish
裏,裏 back side  リ  うら the back side
